Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter2600, loss: 1.82742023468
epoch0, iter2601, loss: -1.72188568115
epoch0, iter2610, loss: 1.8610022068
epoch0, iter2611, loss: -2.45519995689
epoch0, iter2620, loss: 2.11344099045
epoch0, iter2621, loss: -2.44719719887
epoch0, iter2630, loss: 1.8678882122
epoch0, iter2631, loss: -1.65742492676
epoch0, iter2640, loss: 1.69638848305
epoch0, iter2641, loss: -1.92555952072
epoch0, iter2650, loss: 1.8322558403
epoch0, iter2651, loss: -2.23731279373
epoch0, iter2660, loss: 1.82095432281
epoch0, iter2661, loss: -1.77151799202
epoch0, iter2670, loss: 1.95869731903
epoch0, iter2671, loss: -1.95955824852
epoch0, iter2680, loss: 1.69570994377
epoch0, iter2681, loss: -2.96339702606
epoch0, iter2690, loss: 1.93030190468
epoch0, iter2691, loss: -1.58273124695
epoch0, iter2700, loss: 2.35839438438
epoch0, iter2701, loss: -2.0463488102
epoch0, iter2710, loss: 2.1021425724
epoch0, iter2711, loss: -1.83489632607
epoch0, iter2720, loss: 1.76122403145
epoch0, iter2721, loss: -1.93290090561
epoch0, iter2730, loss: 2.31031060219
epoch0, iter2731, loss: -2.35292029381
epoch0, iter2740, loss: 1.90091133118
epoch0, iter2741, loss: -2.17392373085
epoch0, iter2750, loss: 2.69238853455
epoch0, iter2751, loss: -1.88338947296
epoch0, iter2760, loss: 1.85258078575
epoch0, iter2761, loss: -1.85672521591
epoch0, iter2770, loss: 2.16128921509
epoch0, iter2771, loss: -1.88340735435
epoch0, iter2780, loss: 1.52169823647
epoch0, iter2781, loss: -1.98887991905
epoch0, iter2790, loss: 2.58362555504
epoch0, iter2791, loss: -1.98564004898
epoch0, iter2800, loss: 3.1158349514
epoch0, iter2801, loss: -1.8773920536
epoch0, iter2810, loss: 2.11991333961
epoch0, iter2811, loss: -1.5486676693
epoch0, iter2820, loss: 2.02345013618
epoch0, iter2821, loss: -1.90471673012
epoch0, iter2830, loss: 1.38445329666
epoch0, iter2831, loss: -2.21642971039
epoch0, iter2840, loss: 2.05352306366
epoch0, iter2841, loss: -2.35104393959
epoch0, iter2850, loss: 1.79505443573
epoch0, iter2851, loss: -2.17627358437
epoch0, iter2860, loss: 2.61008048058
epoch0, iter2861, loss: -2.16887712479
epoch0, iter2870, loss: 1.53656148911
epoch0, iter2871, loss: -1.99685025215
epoch0, iter2880, loss: 1.5053524971
epoch0, iter2881, loss: -1.8032977581
epoch0, iter2890, loss: 2.23851585388
epoch0, iter2891, loss: -1.69749522209
